country,rank,happiness_score,density_p_per_km2,agricultural_land_percent,land_area_km2,cpi,cpi_change_percent,fertility_rate,forested_area_percent,gross_primary_education_enrollment_percent,gross_tertiary_education_enrollment_percent,minimum_wage,out_of_pocket_health_expenditure_percent,physicians_per_thousand,labor_force_participation_percent,total_tax_rate_percent,unemployment_rate_percent,gdp_per_capita,co2_per_capita,armed_forces_per_capita,urban_population_percent,avg_temp,working_hours
Latvia,41,6.213,30.0,31.1,64589,116.86,2.8,1.6,54.0,99.4,88.1,2.8,41.6,3.19,61.4,38.1,6.52,17836.365,0.003662,0.003137,68.222,6.87,2023.0
Lebanon,136,2.392,667.0,64.3,10400,130.02,3.0,2.09,13.4,95.1,26.3,2.15,32.1,2.1,47.0,32.2,6.23,7784.317,0.003617,0.011669,88.758,15.45,2475.0
Liberia,125,4.042,53.0,28.0,111369,223.13,23.6,4.32,43.1,85.1,11.9,0.17,19.6,0.04,76.3,46.2,2.81,621.893,0.000281,0.000405,51.615,25.45,2480.0
Lithuania,20,6.763,43.0,47.2,65300,118.38,2.3,1.63,34.8,103.9,72.4,2.41,32.1,6.35,61.6,42.6,6.35,19455.454,0.004651,0.0122,67.855,7.38,2007.0
Luxembourg,9,7.228,242.0,53.7,2586,115.09,1.7,1.37,35.7,102.3,19.2,13.05,10.6,3.01,59.3,20.4,5.36,110172.373,0.013926,0.003099,87.619,10.02,1851.0
Madagascar,127,4.019,48.0,71.2,587041,184.33,5.6,4.08,21.4,142.5,5.4,0.21,21.7,0.18,86.1,38.3,1.76,522.22,0.000145,0.000816,37.861,22.64,1794.0
Malawi,131,3.495,203.0,61.4,118484,418.34,9.4,4.21,33.2,142.5,0.8,0.12,11.0,0.04,76.7,34.5,5.65,411.552,7E-05,0.000805,17.174,22.66,2096.0
Malaysia,55,6.012,99.0,26.3,329847,121.46,0.7,2.0,67.6,105.3,45.1,0.93,36.7,1.51,64.3,38.7,3.32,11239.782,0.007652,0.004191,75.432,26.38,2324.0
Mali,120,4.198,17.0,33.8,1240192,108.73,-1.7,5.88,3.8,75.6,4.5,0.23,46.3,0.13,70.8,54.5,7.22,890.737,0.000162,0.000916,43.136,29.21,2179.0
Malta,37,6.3,1620.4,32.4,316,113.45,1.6,1.23,1.1,105.0,54.3,5.07,37.1,2.86,56.5,44.0,3.47,29416.231,0.00267,0.003979,94.678,20.06,1914.0
Mauritania,103,4.724,5.0,38.5,1030700,135.02,2.3,4.56,0.2,99.9,5.0,0.53,48.2,0.19,45.9,67.0,9.55,1677.919,0.000605,0.00464,54.507,28.82,2475.0
Mauritius,59,5.902,626.0,42.4,2040,129.91,0.4,1.41,19.0,101.1,40.6,0.38,50.7,2.53,58.3,22.2,6.67,11203.541,0.003436,0.00237,40.766,23.33,2085.0
Mexico,36,6.33,66.0,54.6,1964375,141.54,3.6,2.13,33.9,105.8,40.2,0.49,41.4,2.38,60.7,55.1,3.42,9985.291,0.00386,0.002666,81.441,21.31,2272.0
Moldova,63,5.819,123.0,74.2,33851,166.2,4.8,1.26,12.6,90.6,39.8,0.31,46.2,3.21,43.1,38.7,5.47,4498.521,0.001925,0.002634,42.726,10.89,2064.0
Mongolia,61,5.84,2.0,71.5,1564116,195.76,7.3,2.9,8.0,104.0,65.6,0.65,39.3,2.86,59.7,25.7,6.01,4295.235,0.007866,0.005581,68.543,1.07,2460.0
Montenegro,67,5.722,47.0,19.0,13812,116.32,2.6,1.75,61.5,100.0,56.1,1.23,31.8,2.76,54.4,22.2,14.88,8832.037,0.003242,0.019288,67.15,9.93,2252.0
Morocco,100,4.903,83.0,68.5,446550,111.07,0.2,2.42,12.6,113.9,35.9,1.6,53.1,0.73,45.3,45.8,9.02,3216.567,0.00166,0.006665,62.245,18.14,2335.0
Mozambique,97,4.954,40.0,63.5,799380,182.31,2.8,4.85,48.0,112.6,7.3,0.27,6.8,0.08,78.1,36.1,3.24,491.805,0.000262,0.000362,36.528,24.41,1893.0
Myanmar,117,4.372,83.0,19.5,676578,168.18,8.8,2.15,43.6,112.3,18.8,0.39,73.9,0.68,61.7,31.2,1.58,1407.813,0.000468,0.009492,30.852,23.82,2324.0
Namibia,105,4.631,3.0,47.1,824292,157.97,3.7,3.4,8.3,124.2,22.9,1,8.3,0.42,59.5,20.7,20.27,4957.458,0.001695,0.006414,51.042,20.45,2335.0
Nepal,78,5.36,203.0,28.7,147181,188.73,5.6,1.92,25.4,142.1,12.4,0.36,60.4,0.75,83.8,41.8,1.41,1071.051,0.000318,0.003915,20.153,17,2132.0
Netherlands,5,7.403,508.0,53.3,41543,115.91,2.6,1.59,11.2,104.2,85.0,10.29,12.3,3.61,63.6,41.2,3.2,52447.831,0.009853,0.002365,91.876,10.49,1643.0
New Zealand,10,7.123,18.0,40.5,268838,114.24,1.6,1.71,38.6,100.0,82.0,11.49,12.6,3.59,69.9,34.6,4.07,42745.046,0.007102,0.001859,87.975,10.46,1716.0
Nicaragua,40,6.259,55.0,42.1,130370,162.74,5.4,2.4,25.9,120.6,17.4,0.54,36.0,0.98,66.4,60.6,6.84,1912.904,0.000854,0.001833,58.76,25.88,1898.0
Niger,109,4.501,19.0,36.1,1267000,109.32,-2.5,6.91,0.9,74.7,4.4,0.29,52.3,0.04,72.0,47.2,0.47,554.601,8.7E-05,0.000429,16.517,28.04,2064.0
Nigeria,95,4.981,226.0,77.7,923768,267.51,11.4,5.39,7.2,84.7,10.2,0.54,72.2,0.38,52.9,34.8,8.1,2229.859,0.000599,0.00107,51.157,27.3,2059.0
Norway,7,7.315,15.0,2.7,323802,120.27,2.2,1.56,33.2,100.3,82.0,18.30,14.3,2.92,63.8,36.2,3.35,75419.635,0.007671,0.004301,82.616,2.21,1752.0
Pakistan,108,4.555,287.0,47.8,796095,182.32,10.6,3.51,1.9,94.3,9.0,0.69,66.5,0.98,52.6,33.9,4.45,1405.581,0.000929,0.004322,36.907,21.38,2439.0
Panama,38,6.265,58.0,30.4,75420,122.07,-0.4,2.46,61.9,94.4,47.8,1.53,30.5,1.57,66.6,37.2,3.9,15731.016,0.002523,0.006123,68.059,25.6,1882.0
Paraguay,66,5.738,18.0,55.1,406752,143.82,2.8,2.43,37.7,104.4,34.6,1.55,36.5,1.35,72.1,35.0,4.81,5414.799,0.001051,0.003833,61.879,23.92,2116.0
Peru,75,5.526,26.0,18.5,1285216,129.78,2.1,2.25,57.7,106.9,70.7,1.28,30.9,1.27,77.6,36.8,3.31,6977.696,0.001766,0.00486,78.099,20.07,2241.0
Philippines,76,5.523,368.0,41.7,300000,129.61,2.5,2.58,27.8,107.5,35.5,1.12,53.5,0.6,59.6,43.1,2.15,3485.084,0.001131,0.001415,47.149,26.27,2111.0
Poland,39,6.26,124.0,46.9,312685,114.11,2.2,1.46,30.9,100.0,67.8,2.93,23.2,2.38,56.7,40.8,3.47,15595.227,0.007875,0.00503,60.037,8.78,2070.0
Portugal,56,5.968,111.0,39.5,92212,110.62,0.3,1.38,34.6,106.2,63.9,3.78,27.7,5.12,58.8,39.8,6.33,23145.041,0.004746,0.005064,65.764,15.85,1986.0
Romania,24,6.589,84.0,58.8,238391,123.78,3.8,1.71,30.1,85.2,49.4,2.25,21.3,2.98,54.7,20.0,3.98,12919.53,0.003578,0.006509,54.084,10.18,2064.0
Russia,70,5.661,9.0,13.3,17098240,180.75,4.5,1.57,49.8,102.6,81.9,0.53,36.4,4.01,61.8,46.2,4.59,11774.156,0.011997,0.010071,74.587,3.79,2038.0
Saudi Arabia,30,6.463,16.0,80.8,2149690,118.4,-1.2,2.32,0.5,99.8,68.0,3.85,15.0,2.61,55.9,15.7,5.93,23139.799,0.016442,0.007354,84.065,25.94,2127.0
Senegal,102,4.855,87.0,46.1,196722,109.25,1.8,4.63,42.8,81.0,12.8,0.31,44.2,0.07,45.7,44.8,6.6,1446.831,0.000669,0.001166,47.653,28.9,2366.0
Serbia,45,6.144,100.0,39.3,77474,144.0,1.8,1.49,31.1,100.3,67.2,1.57,40.6,3.11,54.9,36.6,12.69,7402.355,0.006511,0.004608,56.26,11.4,2184.0
Sierra Leone,135,3.138,111.0,54.7,71740,234.16,14.8,4.26,43.1,112.8,2.0,0.57,38.2,0.03,57.9,30.7,4.43,504.463,0.00014,0.001152,42.484,26.54,2220.0
Singapore,25,6.587,9084.8,0.9,716,114.41,0.6,1.14,23.1,100.6,84.8,5.60,36.7,2.29,70.5,21.0,4.11,65233.282,0.006581,0.014202,100.0,27.68,2215.0
Slovakia,29,6.469,114.0,39.2,49035,115.34,2.7,1.52,40.4,98.7,46.6,3.11,18.4,3.42,59.5,49.7,5.56,19329.097,0.005945,0.002934,53.729,8.83,1960.0
Slovenia,22,6.65,103.0,30.7,20273,111.05,1.6,1.6,62.0,100.4,78.6,5.25,12.5,3.09,58.4,31.0,4.2,25739.248,0.00605,0.003353,54.822,9.86,2012.0
South Africa,85,5.275,49.0,79.8,1219090,158.93,4.1,2.41,7.6,100.9,22.4,1.55,7.7,0.91,56.0,29.2,28.18,6001.401,0.00814,0.001366,66.856,18.23,2215.0
South Korea,57,5.951,527.0,17.4,99720,115.16,0.4,0.98,63.4,98.1,94.3,6.49,36.8,2.36,63.0,33.2,4.15,39238.743,0.011996,0.012261,81.43,12.22,2007.0
Spain,32,6.436,94.0,52.6,505370,110.96,0.7,1.26,36.9,102.7,88.9,5.6,24.2,3.87,57.5,47.0,13.96,29613.671,0.005183,0.004163,80.565,13.07,1908.0
Sri Lanka,112,4.442,341.0,43.7,65610,155.53,3.5,2.2,32.9,100.2,19.6,0.35,38.4,1.0,53.9,55.2,4.2,3853.084,0.001072,0.014539,18.585,27.25,2205.0
Sweden,6,7.395,25.0,7.4,450295,110.51,1.8,1.76,68.9,126.6,67.0,13.90,15.2,3.98,64.6,49.1,6.48,51610.066,0.004205,0.002917,87.708,3.23,1836.0
Switzerland,8,7.24,219.0,38.4,41277,99.55,0.4,1.52,31.8,105.2,59.6,27.73,28.3,4.3,68.3,28.8,4.58,81993.727,0.004021,0.002449,73.849,6.47,1856.0
Tajikistan,80,5.33,68.0,34.1,144100,148.57,6.0,3.59,3.0,100.9,31.3,0.23,63.1,1.7,42.0,67.3,11.02,870.788,0.00057,0.001824,27.309,3.85,2158.0
Tanzania,129,3.694,67.0,44.8,947300,187.43,3.5,4.89,51.6,94.2,4.0,0.09,26.1,0.01,83.4,43.8,1.98,1089.157,0.000206,0.000483,34.5,22.92,2064.0
Thailand,60,5.843,137.0,43.3,513120,113.27,0.7,1.53,32.2,99.8,49.3,1.06,11.8,0.81,67.3,29.5,0.75,7808.193,0.004076,0.006535,50.692,26.85,2200.0
Togo,122,4.137,152.0,70.2,56785,113.3,0.7,4.32,3.1,123.8,14.5,0.34,51.0,0.08,77.6,48.2,2.04,675.542,0.000371,0.001237,42.248,27.33,1945.0
Tunisia,110,4.497,76.0,64.8,163610,155.33,6.7,2.2,6.8,115.4,31.7,0.47,39.8,1.3,46.1,60.7,16.02,3317.541,0.00256,0.004104,69.254,20.53,2304.0
Turkey,106,4.614,110.0,49.8,783562,234.44,15.2,2.07,15.4,93.2,23.9,3.45,16.9,1.85,52.8,42.3,13.49,9042.493,0.004468,0.006137,75.63,11.66,2283.0
Uganda,113,4.432,229.0,71.9,241038,173.87,2.9,4.96,9.7,102.7,4.8,0.01,40.5,0.17,70.3,33.7,1.84,776.769,0.000128,0.001039,24.361,23.25,2314.0
Ukraine,92,5.071,75.0,71.7,603550,281.66,7.9,1.3,16.7,99.0,82.7,0.84,47.8,2.99,54.2,45.2,8.88,3464.696,0.004557,0.006691,69.473,9.27,2028.0
United Arab Emirates,26,6.571,118.0,5.5,83600,114.52,-1.9,1.41,4.6,108.4,36.8,0.47,17.8,2.53,82.1,15.9,2.35,43103.323,0.021117,0.006448,86.789,28.17,2647.0
United Kingdom,19,6.796,281.0,71.7,243610,119.62,1.7,1.68,13.1,101.2,60.0,10.13,14.8,2.81,62.8,30.6,3.85,42300.267,0.005671,0.002214,83.652,9.24,1867.0
United States,15,6.894,36.0,44.4,9833517,117.24,7.5,1.73,33.9,101.8,88.2,7.25,11.1,2.61,62.0,36.6,14.7,65280.682,0.015252,0.00414,82.459,9.46,1976.0
Uruguay,28,6.494,20.0,82.6,176215,202.92,7.9,1.97,10.7,108.5,63.1,1.66,16.2,5.05,64.0,41.8,8.73,16190.127,0.001955,0.006355,95.426,17.97,1940.0
Venezuela,88,5.211,32.0,24.5,912050,29100339,254.9,2.27,52.7,97.2,79.3,0.01,45.8,1.92,59.7,73.3,8.8,16915.493,0.005757,0.012028,88.24,25.71,2012.0
Vietnam,65,5.763,314.0,39.3,331210,163.52,2.8,2.05,48.1,110.6,28.5,0.73,43.5,0.82,77.4,37.6,2.01,2715.276,0.001997,0.005411,36.628,24.79,2163.0
Zambia,128,3.982,25.0,32.1,752618,212.31,9.2,4.63,65.2,98.7,4.1,0.24,27.5,1.19,74.6,15.6,11.43,1291.343,0.000288,0.000896,44.072,22.23,2262.0
Zimbabwe,134,3.204,38.0,41.9,390757,105.51,0.9,3.62,35.5,109.9,10.0,0.87,25.8,0.21,83.1,31.6,4.95,1463.986,0.00075,0.003482,32.21,21.9,2148.0
